# Selection : patch(outlet)
# Faces  :    4
# Area   :    1.000000e-02
# Time        	areaAverage(T)
120.8         	1.907812e-06
121.3         	2.285688e-06
121.8         	2.732817e-06
122.3         	3.260801e-06
122.8         	3.882991e-06
123.3         	4.614711e-06
123.8         	5.473518e-06
124.3         	6.479483e-06
124.8         	7.655500e-06
125.3         	9.027630e-06
125.8         	1.062548e-05
126.3         	1.248260e-05
126.8         	1.463696e-05
127.3         	1.713141e-05
127.8         	2.001425e-05
128.3         	2.333976e-05
128.8         	2.716886e-05
129.3         	3.156977e-05
129.8         	3.661872e-05
130.3         	4.240078e-05
130.8         	4.901059e-05
131.3         	5.655335e-05
131.8         	6.514569e-05
132.3         	7.491669e-05
132.8         	8.600894e-05
133.3         	9.857962e-05
133.8         	1.128017e-04
134.3         	1.288652e-04
134.8         	1.469783e-04
135.3         	1.673688e-04
135.8         	1.902857e-04
136.3         	2.160002e-04
136.8         	2.448073e-04
137.3         	2.770275e-04
137.8         	3.130083e-04
138.3         	3.531256e-04
138.8         	3.977852e-04
139.3         	4.474249e-04
139.8         	5.025156e-04
140.3         	5.635630e-04
140.8         	6.311094e-04
141.3         	7.057352e-04
141.8         	7.880603e-04
142.3         	8.787458e-04
142.8         	9.784951e-04
143.3         	1.088056e-03
143.8         	1.208221e-03
144.3         	1.339829e-03
144.8         	1.483767e-03
145.3         	1.640970e-03
145.8         	1.812423e-03
146.3         	1.999161e-03
146.8         	2.202269e-03
147.3         	2.422883e-03
147.8         	2.662191e-03
148.3         	2.921432e-03
148.8         	3.201897e-03
149.3         	3.504926e-03
149.8         	3.831909e-03
150.3         	4.184287e-03
150.8         	4.563549e-03
151.3         	4.971228e-03
151.8         	5.408904e-03
152.3         	5.878200e-03
152.8         	6.380781e-03
153.3         	6.918349e-03
153.8         	7.492642e-03
154.3         	8.105432e-03
154.8         	8.758521e-03
155.3         	9.453734e-03
155.8         	1.019292e-02
156.3         	1.097796e-02
156.8         	1.181071e-02
157.3         	1.269309e-02
157.8         	1.362699e-02
158.3         	1.461430e-02
158.8         	1.565692e-02
159.3         	1.675673e-02
159.8         	1.791561e-02
160.3         	1.913539e-02
160.8         	2.041791e-02
161.3         	2.176495e-02
161.8         	2.317827e-02
162.3         	2.465957e-02
162.8         	2.621052e-02
163.3         	2.783273e-02
163.8         	2.952773e-02
164.3         	3.129702e-02
164.8         	3.314200e-02
165.3         	3.506401e-02
165.8         	3.706429e-02
166.3         	3.914402e-02
166.8         	4.130427e-02
167.3         	4.354601e-02
167.8         	4.587012e-02
168.3         	4.827738e-02
168.8         	5.076845e-02
169.3         	5.334389e-02
169.8         	5.600414e-02
170.3         	5.874952e-02
170.8         	6.158022e-02
171.3         	6.449634e-02
171.8         	6.749783e-02
172.3         	7.058453e-02
172.8         	7.375613e-02
173.3         	7.701223e-02
173.8         	8.035227e-02
174.3         	8.377559e-02
174.8         	8.728139e-02
175.3         	9.086876e-02
175.8         	9.453665e-02
176.3         	9.828390e-02
176.8         	1.021092e-01
177.3         	1.060113e-01
177.8         	1.099885e-01
178.3         	1.140392e-01
178.8         	1.181619e-01
179.3         	1.223545e-01
179.8         	1.266153e-01
180.3         	1.309421e-01
180.8         	1.353329e-01
181.3         	1.397856e-01
181.8         	1.442978e-01
182.3         	1.488672e-01
182.8         	1.534915e-01
183.3         	1.581681e-01
183.8         	1.628946e-01
184.3         	1.676684e-01
184.8         	1.724868e-01
185.3         	1.773473e-01
185.8         	1.822472e-01
186.3         	1.871837e-01
186.8         	1.921541e-01
187.3         	1.971558e-01
187.8         	2.021859e-01
188.3         	2.072418e-01
188.8         	2.123206e-01
189.3         	2.174196e-01
189.8         	2.225362e-01
190.3         	2.276676e-01
190.8         	2.328112e-01
191.3         	2.379642e-01
191.8         	2.431241e-01
192.3         	2.482883e-01
192.8         	2.534543e-01
193.3         	2.586196e-01
193.8         	2.637817e-01
194.3         	2.689382e-01
194.8         	2.740869e-01
195.3         	2.792254e-01
195.8         	2.843515e-01
196.3         	2.894631e-01
196.8         	2.945582e-01
197.3         	2.996346e-01
197.8         	3.046905e-01
198.3         	3.097239e-01
198.8         	3.147331e-01
199.3         	3.197164e-01
199.8         	3.246721e-01
200.3         	3.295986e-01
200.8         	3.344944e-01
201.3         	3.393582e-01
201.8         	3.441885e-01
202.3         	3.489840e-01
202.8         	3.537437e-01
203.3         	3.584663e-01
203.8         	3.631508e-01
204.3         	3.677962e-01
204.8         	3.724016e-01
205.3         	3.769663e-01
205.8         	3.814893e-01
206.3         	3.859700e-01
206.8         	3.904078e-01
207.3         	3.948021e-01
207.8         	3.991524e-01
208.3         	4.034582e-01
208.8         	4.077192e-01
209.3         	4.119350e-01
209.8         	4.161054e-01
210.3         	4.202301e-01
210.8         	4.243090e-01
211.3         	4.283419e-01
211.8         	4.323288e-01
212.3         	4.362696e-01
212.8         	4.401644e-01
213.3         	4.440133e-01
213.8         	4.478162e-01
214.3         	4.515734e-01
214.8         	4.552850e-01
215.3         	4.589513e-01
215.8         	4.625724e-01
216.3         	4.661487e-01
216.8         	4.696804e-01
217.3         	4.731678e-01
217.8         	4.766113e-01
218.3         	4.800114e-01
218.8         	4.833682e-01
219.3         	4.866823e-01
219.8         	4.899541e-01
220.3         	4.931841e-01
220.8         	4.963726e-01
221.3         	4.995202e-01
221.8         	5.026273e-01
222.3         	5.056945e-01
222.8         	5.087222e-01
223.3         	5.117110e-01
223.8         	5.146613e-01
224.3         	5.175737e-01
224.8         	5.204488e-01
225.3         	5.232870e-01
225.8         	5.260890e-01
226.3         	5.288552e-01
226.8         	5.315861e-01
227.3         	5.342824e-01
227.8         	5.369446e-01
228.3         	5.395732e-01
228.8         	5.421688e-01
229.3         	5.447318e-01
229.8         	5.472629e-01
230.3         	5.497626e-01
230.8         	5.522313e-01
231.3         	5.546697e-01
231.8         	5.570783e-01
232.3         	5.594575e-01
232.8         	5.618079e-01
233.3         	5.641300e-01
233.8         	5.664243e-01
234.3         	5.686913e-01
234.8         	5.709314e-01
235.3         	5.731453e-01
235.8         	5.753332e-01
236.3         	5.774958e-01
236.8         	5.796335e-01
237.3         	5.817467e-01
237.8         	5.838360e-01
238.3         	5.859016e-01
238.8         	5.879442e-01
239.3         	5.899640e-01
239.8         	5.919616e-01
240.3         	5.939373e-01
240.8         	5.958915e-01
241.3         	5.978248e-01
241.8         	5.997373e-01
242.3         	6.016297e-01
242.8         	6.035021e-01
243.3         	6.053550e-01
243.8         	6.071888e-01
244.3         	6.090038e-01
244.8         	6.108004e-01
245.3         	6.125788e-01
245.8         	6.143396e-01
246.3         	6.160829e-01
246.8         	6.178091e-01
247.3         	6.195186e-01
247.8         	6.212116e-01
248.3         	6.228884e-01
248.8         	6.245494e-01
249.3         	6.261948e-01
249.8         	6.278250e-01
250.3         	6.294401e-01
250.8         	6.310406e-01
251.3         	6.326266e-01
251.8         	6.341984e-01
252.3         	6.357563e-01
252.8         	6.373005e-01
253.3         	6.388313e-01
253.8         	6.403489e-01
254.3         	6.418535e-01
254.8         	6.433454e-01
255.3         	6.448248e-01
255.8         	6.462920e-01
256.3         	6.477470e-01
256.8         	6.491903e-01
257.3         	6.506218e-01
257.8         	6.520420e-01
258.3         	6.534509e-01
258.8         	6.548487e-01
259.3         	6.562357e-01
259.8         	6.576119e-01
260.3         	6.589777e-01
260.8         	6.603332e-01
261.3         	6.616784e-01
261.8         	6.630137e-01
262.3         	6.643392e-01
262.8         	6.656549e-01
263.3         	6.669612e-01
263.8         	6.682581e-01
264.3         	6.695457e-01
264.8         	6.708243e-01
265.3         	6.720940e-01
265.8         	6.733548e-01
266.3         	6.746070e-01
266.8         	6.758507e-01
267.3         	6.770859e-01
267.8         	6.783129e-01
268.3         	6.795317e-01
268.8         	6.807425e-01
269.3         	6.819453e-01
269.8         	6.831404e-01
270.3         	6.843277e-01
270.8         	6.855074e-01
271.3         	6.866797e-01
271.8         	6.878445e-01
272.3         	6.890021e-01
272.8         	6.901524e-01
273.3         	6.912957e-01
273.8         	6.924320e-01
274.3         	6.935613e-01
274.8         	6.946838e-01
275.3         	6.957996e-01
275.8         	6.969087e-01
276.3         	6.980113e-01
276.8         	6.991073e-01
277.3         	7.001970e-01
277.8         	7.012803e-01
278.3         	7.023573e-01
278.8         	7.034281e-01
279.3         	7.044928e-01
279.8         	7.055514e-01
280.3         	7.066041e-01
280.8         	7.076508e-01
281.3         	7.086916e-01
281.8         	7.097267e-01
282.3         	7.107560e-01
282.8         	7.117796e-01
283.3         	7.127977e-01
283.8         	7.138101e-01
284.3         	7.148171e-01
284.8         	7.158186e-01
285.3         	7.168147e-01
285.8         	7.178054e-01
286.3         	7.187909e-01
286.8         	7.197711e-01
287.3         	7.207461e-01
287.8         	7.217160e-01
288.3         	7.226808e-01
288.8         	7.236405e-01
289.3         	7.245952e-01
289.8         	7.255449e-01
290.3         	7.264897e-01
290.8         	7.274296e-01
291.3         	7.283647e-01
291.8         	7.292950e-01
292.3         	7.302205e-01
292.8         	7.311413e-01
293.3         	7.320574e-01
293.8         	7.329689e-01
294.3         	7.338757e-01
294.8         	7.347780e-01
295.3         	7.356758e-01
295.8         	7.365691e-01
296.3         	7.374579e-01
296.8         	7.383423e-01
297.3         	7.392222e-01
297.8         	7.400979e-01
298.3         	7.409692e-01
298.8         	7.418362e-01
299.3         	7.426989e-01
299.8         	7.435574e-01
300.3         	7.444117e-01
300.8         	7.452619e-01
301.3         	7.461079e-01
301.8         	7.469498e-01
302.3         	7.477876e-01
302.8         	7.486214e-01
303.3         	7.494511e-01
303.8         	7.502769e-01
304.3         	7.510987e-01
304.8         	7.519166e-01
305.3         	7.527305e-01
305.8         	7.535406e-01
306.3         	7.543469e-01
306.8         	7.551493e-01
307.3         	7.559479e-01
307.8         	7.567428e-01
308.3         	7.575339e-01
308.8         	7.583213e-01
309.3         	7.591050e-01
309.8         	7.598851e-01
310.3         	7.606615e-01
310.8         	7.614343e-01
311.3         	7.622035e-01
311.8         	7.629692e-01
312.3         	7.637313e-01
312.8         	7.644900e-01
313.3         	7.652451e-01
313.8         	7.659968e-01
314.3         	7.667450e-01
314.8         	7.674899e-01
315.3         	7.682313e-01
315.8         	7.689694e-01
316.3         	7.697042e-01
316.8         	7.704356e-01
317.3         	7.711637e-01
317.8         	7.718886e-01
318.3         	7.726103e-01
318.8         	7.733287e-01
319.3         	7.740439e-01
319.8         	7.747559e-01
320.3         	7.754648e-01
320.8         	7.761706e-01
321.3         	7.768732e-01
321.8         	7.775728e-01
322.3         	7.782693e-01
322.8         	7.789628e-01
323.3         	7.796532e-01
323.8         	7.803407e-01
324.3         	7.810251e-01
324.8         	7.817066e-01
325.3         	7.823852e-01
325.8         	7.830609e-01
326.3         	7.837337e-01
326.8         	7.844036e-01
327.3         	7.850707e-01
327.8         	7.857349e-01
328.3         	7.863964e-01
328.8         	7.870550e-01
329.3         	7.877109e-01
329.8         	7.883640e-01
330.3         	7.890144e-01
330.8         	7.896621e-01
331.3         	7.903071e-01
331.8         	7.909495e-01
332.3         	7.915892e-01
332.8         	7.922262e-01
333.3         	7.928607e-01
333.8         	7.934926e-01
334.3         	7.941218e-01
334.8         	7.947486e-01
335.3         	7.953728e-01
335.8         	7.959945e-01
336.3         	7.966136e-01
336.8         	7.972303e-01
337.3         	7.978446e-01
337.8         	7.984564e-01
338.3         	7.990657e-01
338.8         	7.996726e-01
339.3         	8.002772e-01
339.8         	8.008794e-01
340.3         	8.014792e-01
340.8         	8.020766e-01
341.3         	8.026717e-01
341.8         	8.032646e-01
342.3         	8.038551e-01
342.8         	8.044433e-01
343.3         	8.050293e-01
343.8         	8.056130e-01
344.3         	8.061945e-01
344.8         	8.067737e-01
345.3         	8.073508e-01
345.8         	8.079257e-01
346.3         	8.084984e-01
346.8         	8.090689e-01
347.3         	8.096373e-01
347.8         	8.102035e-01
348.3         	8.107677e-01
348.8         	8.113297e-01
349.3         	8.118896e-01
349.8         	8.124475e-01
350.3         	8.130033e-01
350.8         	8.135570e-01
351.3         	8.141087e-01
351.8         	8.146584e-01
352.3         	8.152060e-01
352.8         	8.157517e-01
353.3         	8.162954e-01
353.8         	8.168371e-01
354.3         	8.173768e-01
354.8         	8.179146e-01
355.3         	8.184505e-01
355.8         	8.189844e-01
356.3         	8.195164e-01
356.8         	8.200465e-01
357.3         	8.205747e-01
357.8         	8.211010e-01
358.3         	8.216254e-01
358.8         	8.221480e-01
359.3         	8.226688e-01
359.8         	8.231877e-01
360.3         	8.237047e-01
360.8         	8.242200e-01
361.3         	8.247334e-01
361.8         	8.252451e-01
362.3         	8.257549e-01
362.8         	8.262630e-01
363.3         	8.267693e-01
363.8         	8.272738e-01
364.3         	8.277766e-01
364.8         	8.282777e-01
365.3         	8.287770e-01
365.8         	8.292746e-01
366.3         	8.297705e-01
366.8         	8.302646e-01
367.3         	8.307571e-01
367.8         	8.312479e-01
368.3         	8.317370e-01
368.8         	8.322245e-01
369.3         	8.327103e-01
369.8         	8.331944e-01
370.3         	8.336769e-01
370.8         	8.341577e-01
371.3         	8.346369e-01
371.8         	8.351145e-01
372.3         	8.355905e-01
372.8         	8.360649e-01
373.3         	8.365377e-01
373.8         	8.370089e-01
374.3         	8.374785e-01
374.8         	8.379465e-01
375.3         	8.384130e-01
375.8         	8.388779e-01
376.3         	8.393413e-01
376.8         	8.398031e-01
377.3         	8.402634e-01
377.8         	8.407221e-01
378.3         	8.411793e-01
378.8         	8.416350e-01
379.3         	8.420892e-01
379.8         	8.425419e-01
380.3         	8.429931e-01
380.8         	8.434428e-01
381.3         	8.438910e-01
381.8         	8.443378e-01
382.3         	8.447830e-01
382.8         	8.452268e-01
383.3         	8.456692e-01
383.8         	8.461101e-01
384.3         	8.465496e-01
384.8         	8.469876e-01
385.3         	8.474242e-01
385.8         	8.478594e-01
386.3         	8.482931e-01
386.8         	8.487254e-01
387.3         	8.491564e-01
387.8         	8.495859e-01
388.3         	8.500140e-01
388.8         	8.504408e-01
389.3         	8.508662e-01
389.8         	8.512902e-01
390.3         	8.517128e-01
390.8         	8.521340e-01
391.3         	8.525539e-01
391.8         	8.529725e-01
392.3         	8.533897e-01
392.8         	8.538056e-01
393.3         	8.542201e-01
393.8         	8.546333e-01
394.3         	8.550452e-01
394.8         	8.554557e-01
395.3         	8.558650e-01
395.8         	8.562729e-01
396.3         	8.566796e-01
396.8         	8.570849e-01
397.3         	8.574890e-01
397.8         	8.578917e-01
398.3         	8.582932e-01
398.8         	8.586935e-01
399.3         	8.590924e-01
399.8         	8.594901e-01
400.3         	8.598865e-01
400.8         	8.602817e-01
401.3         	8.606757e-01
401.8         	8.610684e-01
402.3         	8.614598e-01
402.8         	8.618501e-01
403.3         	8.622391e-01
403.8         	8.626269e-01
404.3         	8.630134e-01
404.8         	8.633988e-01
405.3         	8.637829e-01
405.8         	8.641659e-01
406.3         	8.645477e-01
406.8         	8.649283e-01
407.3         	8.653076e-01
407.8         	8.656859e-01
408.3         	8.660629e-01
408.8         	8.664388e-01
409.3         	8.668135e-01
409.8         	8.671870e-01
410.3         	8.675594e-01
410.8         	8.679307e-01
411.3         	8.683008e-01
411.8         	8.686697e-01
412.3         	8.690376e-01
412.8         	8.694043e-01
413.3         	8.697698e-01
413.8         	8.701343e-01
414.3         	8.704976e-01
414.8         	8.708598e-01
415.3         	8.712210e-01
415.8         	8.715810e-01
416.3         	8.719399e-01
416.8         	8.722977e-01
417.3         	8.726545e-01
417.8         	8.730101e-01
418.3         	8.733647e-01
418.8         	8.737182e-01
419.3         	8.740707e-01
419.8         	8.744220e-01
420.3         	8.747724e-01
420.8         	8.751216e-01
421.3         	8.754698e-01
421.8         	8.758170e-01
422.3         	8.761631e-01
422.8         	8.765082e-01
423.3         	8.768522e-01
423.8         	8.771952e-01
424.3         	8.775372e-01
424.8         	8.778782e-01
425.3         	8.782181e-01
425.8         	8.785570e-01
426.3         	8.788950e-01
426.8         	8.792319e-01
427.3         	8.795678e-01
427.8         	8.799027e-01
428.3         	8.802367e-01
428.8         	8.805696e-01
429.3         	8.809016e-01
429.8         	8.812325e-01
430.3         	8.815625e-01
430.8         	8.818916e-01
431.3         	8.822196e-01
431.8         	8.825467e-01
432.3         	8.828728e-01
432.8         	8.831980e-01
433.3         	8.835222e-01
433.8         	8.838455e-01
434.3         	8.841678e-01
434.8         	8.844892e-01
435.3         	8.848097e-01
435.8         	8.851292e-01
436.3         	8.854478e-01
436.8         	8.857655e-01
437.3         	8.860822e-01
437.8         	8.863980e-01
438.3         	8.867129e-01
438.8         	8.870269e-01
439.3         	8.873400e-01
439.8         	8.876522e-01
440.3         	8.879634e-01
440.8         	8.882738e-01
441.3         	8.885833e-01
441.8         	8.888919e-01
442.3         	8.891996e-01
442.8         	8.895064e-01
443.3         	8.898124e-01
443.8         	8.901174e-01
444.3         	8.904216e-01
444.8         	8.907249e-01
445.3         	8.910274e-01
445.8         	8.913290e-01
446.3         	8.916297e-01
446.8         	8.919296e-01
447.3         	8.922286e-01
447.8         	8.925268e-01
448.3         	8.928241e-01
448.8         	8.931206e-01
449.3         	8.934162e-01
449.8         	8.937110e-01
450.3         	8.940050e-01
450.8         	8.942981e-01
451.3         	8.945904e-01
451.8         	8.948819e-01
452.3         	8.951725e-01
452.8         	8.954624e-01
453.3         	8.957514e-01
453.8         	8.960396e-01
454.3         	8.963270e-01
454.8         	8.966136e-01
455.3         	8.968994e-01
455.8         	8.971844e-01
456.3         	8.974686e-01
456.8         	8.977520e-01
457.3         	8.980346e-01
457.8         	8.983164e-01
458.3         	8.985974e-01
458.8         	8.988777e-01
459.3         	8.991571e-01
459.8         	8.994358e-01
460.3         	8.997137e-01
460.8         	8.999908e-01
461.3         	9.002672e-01
461.8         	9.005428e-01
462.3         	9.008177e-01
462.8         	9.010917e-01
463.3         	9.013651e-01
463.8         	9.016376e-01
464.3         	9.019094e-01
464.8         	9.021805e-01
465.3         	9.024508e-01
465.8         	9.027204e-01
466.3         	9.029892e-01
466.8         	9.032573e-01
467.3         	9.035246e-01
467.8         	9.037912e-01
468.3         	9.040571e-01
468.8         	9.043222e-01
469.3         	9.045867e-01
469.8         	9.048504e-01
470.3         	9.051133e-01
470.8         	9.053756e-01
471.3         	9.056371e-01
471.8         	9.058979e-01
472.3         	9.061581e-01
472.8         	9.064175e-01
473.3         	9.066761e-01
473.8         	9.069341e-01
474.3         	9.071914e-01
474.8         	9.074480e-01
475.3         	9.077039e-01
475.8         	9.079591e-01
476.3         	9.082136e-01
476.8         	9.084674e-01
477.3         	9.087205e-01
477.8         	9.089729e-01
478.3         	9.092246e-01
478.8         	9.094757e-01
479.3         	9.097261e-01
479.8         	9.099758e-01
480.3         	9.102248e-01
480.8         	9.104731e-01
481.3         	9.107208e-01
481.8         	9.109678e-01
482.3         	9.112141e-01
482.8         	9.114598e-01
483.3         	9.117048e-01
483.8         	9.119492e-01
484.3         	9.121928e-01
484.8         	9.124359e-01
485.3         	9.126782e-01
485.8         	9.129200e-01
486.3         	9.131610e-01
486.8         	9.134014e-01
487.3         	9.136412e-01
487.8         	9.138803e-01
488.3         	9.141188e-01
488.8         	9.143567e-01
489.3         	9.145939e-01
489.8         	9.148304e-01
490.3         	9.150663e-01
490.8         	9.153016e-01
491.3         	9.155363e-01
491.8         	9.157703e-01
492.3         	9.160037e-01
492.8         	9.162365e-01
493.3         	9.164686e-01
493.8         	9.167001e-01
494.3         	9.169310e-01
494.8         	9.171613e-01
495.3         	9.173910e-01
495.8         	9.176200e-01
496.3         	9.178484e-01
496.8         	9.180762e-01
497.3         	9.183034e-01
497.8         	9.185300e-01
498.3         	9.187560e-01
498.8         	9.189814e-01
499.3         	9.192061e-01
499.8         	9.194303e-01
500.3         	9.196539e-01
500.8         	9.198768e-01
501.3         	9.200992e-01
501.8         	9.203209e-01
502.3         	9.205421e-01
502.8         	9.207627e-01
503.3         	9.209826e-01
503.8         	9.212020e-01
504.3         	9.214208e-01
504.8         	9.216390e-01
505.3         	9.218566e-01
505.8         	9.220737e-01
506.3         	9.222901e-01
506.8         	9.225060e-01
507.3         	9.227213e-01
507.8         	9.229360e-01
508.3         	9.231501e-01
508.8         	9.233636e-01
509.3         	9.235766e-01
509.8         	9.237890e-01
510.3         	9.240008e-01
510.8         	9.242120e-01
511.3         	9.244227e-01
511.8         	9.246328e-01
512.3         	9.248424e-01
512.8         	9.250513e-01
513.3         	9.252597e-01
513.8         	9.254676e-01
514.3         	9.256748e-01
514.8         	9.258815e-01
515.3         	9.260877e-01
515.8         	9.262933e-01
516.3         	9.264983e-01
516.8         	9.267028e-01
517.3         	9.269067e-01
517.8         	9.271101e-01
518.3         	9.273129e-01
518.8         	9.275152e-01
519.3         	9.277169e-01
519.8         	9.279180e-01
520.3         	9.281186e-01
520.8         	9.283187e-01
521.3         	9.285182e-01
521.8         	9.287172e-01
522.3         	9.289156e-01
522.8         	9.291135e-01
523.3         	9.293108e-01
523.8         	9.295076e-01
524.3         	9.297039e-01
524.8         	9.298996e-01
525.3         	9.300948e-01
525.8         	9.302894e-01
526.3         	9.304835e-01
526.8         	9.306771e-01
527.3         	9.308702e-01
527.8         	9.310627e-01
528.3         	9.312547e-01
528.8         	9.314461e-01
529.3         	9.316370e-01
529.8         	9.318274e-01
530.3         	9.320173e-01
530.8         	9.322067e-01
531.3         	9.323955e-01
531.8         	9.325838e-01
532.3         	9.327715e-01
532.8         	9.329588e-01
533.3         	9.331455e-01
533.8         	9.333318e-01
